x	y	g
0,995702489	4,169302415	957,93
1,225139138	3,73455116	504,98
2,10445004	2,002934751	445,13
3,406621998	2,99274558	581,98
1,616579858	2,890242041	802,63
0,061511527	3,416107	451,5
4,697592294	3,060049064	513,98
0,358839627	2,395557659	306,01
2,86108838	3,310393652	533,49
0,261972865	3,042249625	683,91
2,389325952	2,82429297	647,13
0,969446759	3,06032054	661,9
-1,192000035	3,559851062	621,86
1,805442249	2,769061727	724,34
2,360330233	2,949532241	428,69
2,816488529	3,000912566	344,47
-0,341018884	2,920593978	408,4
1,776210531	3,434299029	391,84
-0,824772838	3,119911134	524,96
-1,838633678	3,103225418	440,49
0,886680039	2,646057129	787,17
0,62339798	2,7033498	706,39
0,414282211	3,159125208	987,64
-0,543599748	3,799539911	868,62
2,081048155	2,729433652	576,07
1,573162054	2,736635768	882,99
2,741486548	3,173938298	495,39
1,42987684	3,947214764	327,68
1,685791137	2,944067325	798,12
-0,273251597	2,898826449	929,34
0,526192544	2,539836682	465,06
0,384913316	2,94086816	920,41
-0,014345358	3,661096222	683,77
-0,331966015	2,158501246	333,87
2,144455175	3,457886127	801,42
2,590760166	3,502962147	727,03
4,91302105	1,928669485	725,07
-0,583221733	2,848969078	969,52
0,676211357	2,708651326	407,87
-1,272640281	2,973486626	844,98
0,11468144	2,23490011	648,41
1,780516565	2,56180851	713,91
1,679768439	3,138083999	392,59
2,138305349	3,68915455	525,93
1,073465616	2,311821131	444,73
2,34373109	2,42250054	365,2
1,591926555	3,014664629	332,85
1,70878053	2,657466393	746,66
0,472210672	2,487795273	492,16
0,326246233	3,442648675	652,29
2,820155776	3,152914352	969,92
0,207255163	3,356423052	365,42
1,624900366	3,011774019	660,07
0,644713973	4,034885164	321,94
0,214386591	2,353816415	478,66
1,784582699	2,995314068	896,18
-0,094501748	3,800235852	778,88
0,055217968	2,854608559	972,87
0,49683268	3,028136095	628,95
0,071609978	3,692101316	407,69
0,241688491	3,714328028	518,85
1,810539716	3,684243344	857,92
1,35448765	3,620121181	709,53
1,272945084	2,512057255	934,3
2,622663261	2,751875645	695,6
2,422520787	3,436863572	957,76
3,120512103	2,447013121	987,02
0,830909574	4,02120399	740,37
0,126356799	2,893932123	571,48
2,177384305	3,14745988	991,91
-0,675404485	3,231537098	764,8
-0,092396441	2,865813105	977,4
-0,472377074	3,433009232	714,18
-0,268296903	2,052675778	348,05
0,30803941	2,777220131	630,01
2,716666095	2,345352342	988,69
1,501939762	2,910276681	650,89
2,148103581	2,879511068	690,26
2,436774652	3,411816998	864,17
1,44547397	3,043528314	657,11
1,777710739	4,213238362	350,4
-0,432601415	2,425593584	726,03
3,123803478	2,261512108	579,29
1,096366826	2,687241209	547,94
1,702594322	3,226915836	314,29
2,555897012	2,774992708	712,92
-0,05389276	3,288755827	381,75
2,466064437	1,751264603	626,04
2,396100812	2,640029904	947,33
-0,110482088	3,703991017	547,82
0,714063864	3,573162062	887,81
-4,087814571	2,511705246	516,48
-0,552127683	3,417896994	352,52
0,006110144	3,165413264	408,54
1,715920481	3,285093868	843,77
0,92202719	3,538189614	764,08
2,128939376	2,643711527	993,1
2,399811962	3,217978008	914,98
-0,608327952	2,66179799	872,69
-1,655759168	2,837765678	733,01
1,09240286	3,590573445	406,76
0,458566891	3,021074676	313,83
0,291515208	2,670079097	640,23
3,009081337	2,663975651	598,14
1,334200041	2,399795048	829,78
2,044956437	2,763115441	459,62
-0,996022658	3,222424557	873,57
1,69990555	2,931705925	404,09
0,76305193	1,861214077	739,33
1,339895766	3,62993221	993,96
0,856833379	2,998799848	869,18
0,888509922	3,925786437	702,88
-0,794579035	3,652557345	421,93
1,672532225	2,681332683	710,44
1,051032626	2,602504847	948,29
0,625951944	2,35566583	841,21
1,08309927	2,434106937	746,64
0,865583323	2,019175324	535,58
-2,208236392	3,823208628	843,37
3,062102862	4,662034633	438,3
2,0036626	2,681384776	805,68
-0,01614981	2,920677535	892,41
-0,395984568	3,03193521	895,68
1,174038465	3,222952813	854,18
2,433884439	3,264791849	479,77
2,562760548	2,081847514	543,35
3,185773278	3,147371316	647,97
0,957537649	3,882872349	792,49
1,986939306	1,737373576	586,3
-0,74520767	3,322519669	365,28
-0,029808458	2,246646365	745,74
2,351715797	3,04317809	670,18
0,226911505	3,462177634	923,3
0,119709581	3,610583748	321,69
-0,335333904	2,842824545	373,44
-0,93048928	3,823795111	406,1
1,211639884	2,307579021	753,96
-0,099567694	3,037213	318,27
0,832789716	2,985703421	835,23
2,39182068	3,568969867	526,98
1,405023478	3,793336176	840,81
-0,298031334	3,176700962	316,59
3,55558344	3,271354951	965,52
0,905980531	2,682654271	463,88
1,104731513	3,967970374	347,31
2,435021837	2,551758198	632,28
-0,725379954	3,53524585	842,7
3,628819548	2,448348283	477,49
-1,57339433	3,394542998	323,75
0,671691336	3,182783153	633,57
0,49167148	4,359615845	819,54
2,563697414	2,791035363	501,61
0,59852061	3,256649775	990,02
-1,275432263	2,759493881	891,67
-0,024995264	2,849980309	591,12
-0,042706505	2,526382116	543,53
-0,543275896	2,233284994	321,14
1,462000042	2,834760293	789,95
-0,043160935	2,821238041	421,19
0,423326865	3,241909501	543,36
-0,034533082	3,476912391	782,3
0,803268315	2,956835909	730,44
-0,740081322	3,269114797	982,27
2,822780847	1,108151524	425,39
2,097785849	1,237271341	531,03
1,414320771	3,178227671	509,71
0,896790874	3,178560276	319,74
-0,390732855	3,184997354	588,98
0,547410303	2,533154479	989,52
0,208621258	3,051460854	683,43
-0,274430046	2,666632701	569,29
0,453801758	3,142174298	565,18
0,742249873	2,280446512	678,53
1,334095544	3,234598064	387,03
-0,560687061	2,6158741	521,61
2,385134748	2,948972842	309,92
1,22473754	2,568090737	785,97
-0,460777645	4,057607506	775,11
0,48480702	2,529236447	562,44
1,193786662	2,938324939	460,02
0,91311186	2,194309458	453,04
1,295817196	3,951924322	382,33
2,160273965	2,439591058	598,87
-0,881623968	2,48264905	337
2,0993989	3,168208896	919,38
0,665059564	2,811538712	761,47
0,191937371	3,032552243	780,67
-0,772325912	3,65034343	961,03
-0,047396284	2,578688804	648,04
1,284470223	3,196041966	715,39
-0,790295656	3,543175304	401,22
0,934275288	3,639665136	645,11
2,48138627	2,080936195	322,37
0,246109437	3,664550685	727,27
1,802577441	2,747931248	757,42
1,111231655	3,118490579	481,61
1,014488837	3,039223069	725,51
-1,284218617	3,024307567	941,43
1,155653246	2,917221666	990,19
2,138498851	2,024826648	869,08
1,485595975	3,437936532	602,51
-0,961009313	4,134924671	648,02
2,415824181	2,426706273	679,82
2,928690977	2,556633247	646,49
0,6149015	1,62118686	371,01
1,984655712	2,87349332	448,32
1,029272542	2,622946003	846,56
0,194908197	3,606174341	944,5
2,127050543	3,594740119	507,68
1,556574294	3,264311002	515,83
-0,273851659	3,459592362	853,81
1,479972518	3,501794425	839,2
-0,172263114	2,968892577	556,48
1,831626223	3,441390174	905,49
1,51341471	2,800816891	544,43
2,59375468	3,076104418	403,69
2,142339382	3,122049237	689,36
2,459981408	2,590564836	515,89
2,104666466	3,501116633	997,54
0,378354488	2,642405027	906,26
0,911044191	1,866154761	384,84
1,878564537	2,85508864	650,25
-0,922821173	2,520193764	855,42
2,227605325	3,560634766	882,06
0,611943316	2,892891272	466,86
0,183574283	2,738726842	301,74
2,031555427	2,507410185	610,92
0,316913582	3,034593149	481,42
-0,40209097	4,100137691	439,77
1,916390187	3,140734898	374,61
0,866578371	2,919524174	842,34
0,458762524	3,317150152	954,26
1,734325733	3,314271755	738,76
-1,064104566	1,676330711	322,76
1,06619917	3,299193666	920,8
0,468681602	2,922310369	385,7
2,205219045	2,603704558	815,81
1,97657316	2,964109764	988,45
1,116122104	3,272589422	947,23
2,024473985	2,555223213	870,68
2,363897804	2,844206419	301,56
0,286082864	2,915310221	490,1
2,182238003	3,118033778	615,37
0,748741529	3,710490388	581,03
2,98092801	3,317286252	661,34
1,80872139	2,747032908	716,65
-0,422689801	3,510324222	827,11
1,346398134	3,481537006	382,51
2,214423767	2,383004764	884,74
1,439374391	2,070512492	874,88
0,256711981	3,587409841	330,68
3,618930066	3,221506395	467,18
1,277278863	4,473560399	327,97
-0,08616603	2,687615327	365,09
0,751769788	2,204574874	577,04
1,149457127	3,11710633	545,44
2,411521625	1,49512771	569,66
-1,338957217	2,904852893	982,89
2,161912137	2,252609154	873,46
1,082098257	2,23916642	576,77
1,759860112	3,377658797	967,57
1,569989991	2,535639953	599,79
-0,690210817	3,190512191	888,62
3,788252329	2,982870124	737,95
0,221209889	3,047402225	303,53
-0,114256398	3,962132783	374,59
2,456915433	3,56866697	759,82
0,555655826	3,78114246	815,76
2,761567639	2,671285931	454,33
0,952198674	1,905819661	377,27
-1,236164979	3,419820843	802,32
1,98991117	2,27984926	989,51
2,291251439	4,136448706	764,6
1,241172504	3,584429433	447,51
1,05158118	2,99128762	711,06
1,568143627	2,51836841	482,5
0,683978923	3,110107507	498,85
0,143132375	2,369070993	860,4
1,250882084	2,982897901	443,72
0,751225569	2,572307179	518,95
1,921322233	2,928977667	736,3
1,609798586	2,861538027	531
2,766921776	1,920971052	799,96
-0,403597369	2,553137112	531,63
2,630611582	2,580552872	711,58
2,409513428	3,290213328	337,72
0,697243473	2,3089366	588,6
2,559247959	3,719136051	828,21
0,461468627	2,51358774	477,39
1,476742275	2,974358682	468,45
0,719221922	3,141712355	690,29
0,895494129	3,769033307	485,14
1,230939791	2,655836544	404,86
2,012874079	2,827468039	867,71
0,851334237	3,109341548	851,37
1,373408575	3,716767754	803,74
3,527665557	3,785001324	908,36
-0,157334006	2,803470553	710,42
0,822928094	3,231720137	830,54
1,600052759	4,104218558	649,37
0,503991935	3,377550702	670,07
-0,175573208	3,45259615	438,24
1,169274117	3,585892739	850,3
1,845487882	2,533891722	717,87
-0,796825639	3,143746658	921,58
3,350350633	2,004750795	660,04
1,360633773	3,000461588	387,01
1,639478166	2,837712059	916,84
-1,628968144	3,080232684	501,68
2,45558641	1,797911173	777,3
0,496143455	2,820136897	832,6
2,603501115	2,388742164	320,57
1,562449073	3,199529463	646,21
1,606999544	2,33150836	572,32
0,636753899	4,064920839	914,34
1,102549913	3,39051622	422,35
0,321522609	2,739225674	888,75
2,564263926	2,755920398	828,17
2,114288781	2,754944713	722,81
0,940722476	3,726863746	896,28
-0,086552905	3,72118354	486,81
-1,479970936	2,203140635	437,45
-1,646537867	3,631194664	847,14
0,457741492	2,4079026	693,58
2,774629352	2,499634667	689,93
4,669450935	1,961703622	375,07
2,353288316	1,967228492	876,45
1,207448314	2,485946563	968,11
1,458429788	2,761143375	959,01
0,50043567	2,895109984	503,48
-0,109565174	4,541470084	787,47
-0,676072168	3,397296713	950,69
2,648455797	2,972295202	359,73
-0,53808225	3,185233395	503,45
-1,70569586	2,529310167	922,22
1,321957836	2,901238269	481,07
1,302830858	3,266345115	528,14
1,479562282	3,177194306	882,29
1,200944907	2,891315115	753,77
2,455450145	2,906368952	949,56
2,313429406	2,422721576	637,99
0,368535002	2,648148668	755,69
0,38374028	3,089053448	966,45
2,918811023	2,964704119	391,93
1,156488589	3,710836276	691,27
0,305520487	2,443986836	606,43
1,937323246	2,757511847	363,09
-0,027595651	2,457440736	438,42
-0,241515613	3,497263964	692,85
0,693727151	2,603376933	744,37
-1,142210544	3,71339563	664,54
2,31316712	2,493915138	616,32
0,410098368	2,780849221	832
-0,884332956	3,318890971	730,89
2,06022221	2,530678205	921,26
0,577661482	2,706393152	346,17
0,877609826	3,411666211	460,28
1,596788562	4,01221371	744
2,103982854	4,122961067	758,45
1,548290537	2,451406812	838,98
3,131125175	3,172551435	732,75
0,219768804	3,628310753	464,32
1,128249332	2,653581664	483,76
0,820994547	2,786197932	841,17
2,490953021	3,00631342	872,11
3,17372593	3,114372014	910
1,474407473	2,52263078	777,91
0,366692726	2,835819624	976,83
1,635108276	2,958243942	669,37
-2,140512179	2,752235895	676,08
2,74257787	3,014083797	895,77
3,218284818	1,382030512	387,6
2,120943449	3,105442686	310,29
0,971917912	3,562396996	865,38
0,873053954	3,465709152	310,68
1,355829472	2,872924429	367,05
2,213084646	2,205041597	307,74
2,296432502	2,744637695	308,52
2,509205977	2,291302808	957,58
1,011421866	2,939810408	602,89
-1,250242091	3,711617535	967,8
1,88407851	3,181231636	492,69
0,075233042	2,33404533	535,83
1,089888843	1,830929489	542,15
1,019768787	3,32862827	345,38
2,310394096	2,361824835	528,03
2,781803255	2,734167099	680,43
1,763436495	2,665394389	966,84
2,212950706	2,78620566	742,12
-1,187949508	3,223685872	924,29
-0,885517847	2,873228191	827,19
2,604063569	2,087783971	545,88
0,091891291	2,731220396	879,31
0,550059844	4,074117341	890,15
2,706820027	2,210369497	561,78
0,203562185	4,645132401	417,97
1,208749823	3,703238779	552,88
1,950961007	3,15076339	480,08
-0,934654138	3,0372077	735,75
1,589592959	3,829403138	430,28
2,084037225	1,89389343	811,4
2,959707207	2,607120138	435,09
-0,079791839	3,429348102	811,4
0,39467447	3,896046557	952,49
2,043451061	3,296650724	935,99
0,871242844	3,281673179	654,8
0,655732574	2,786238428	428,04
2,003797519	2,445601731	982,39
3,378064518	2,730043749	529,21
-0,239240338	3,416469655	470,27
1,817362917	3,198077883	938,73
2,581606239	3,002368585	690,57
3,254861428	3,401067642	631,68
-1,075243641	3,848396053	779,27
0,340707897	3,328090054	523,32
-0,616479771	3,150083403	953,71
1,006632612	2,52138562	858,21
1,58610277	3,925722383	642,34
2,51259119	3,330800067	436,99
2,228294142	3,478422732	987,81
2,200370358	3,132314075	692,56
1,564089657	2,692131153	983,24
2,751261096	3,655047114	847,65
0,920181397	3,605326287	695,15
0,431533875	3,456761889	676,67
2,105607748	2,410224888	492,18
0,983383085	3,534777888	923,66
-0,626666405	2,868396849	343,26
3,004973684	3,165389134	913,69
0,521221066	3,425597233	655,27
-2,207788498	2,983296766	506,26
1,511219624	2,207985063	629,07
-2,365467388	2,934916056	747,84
-0,595114815	3,848676106	455,08
1,426305983	1,830491729	991,24
0,910141093	2,241267453	650,8
1,044478507	2,388658842	721,35
0,00942605	3,378016953	622,81
-0,196461234	3,719730877	934,66
1,09691266	4,085444667	954,84
1,197069693	3,477128524	497,44
-1,779369736	2,954155039	874,16
-1,513079891	3,032280197	303,36
-0,568995404	3,213530294	618,98
3,371628121	3,215835107	642,84
0,579764865	2,614236917	675,35
-0,598153303	3,189201929	779,38
2,735525391	3,251327966	536,06
1,646036053	2,273492932	619,06
-0,502896903	2,300237023	718,49
1,377310324	1,806115894	487,99
0,146448988	2,454590373	688,42
0,156259838	2,66758647	910,93
1,372947056	3,370842792	958,29
0,753806624	3,689204885	568,45
0,301946052	3,198312493	479,13
-0,197903657	4,179258059	735,78
0,330344216	2,547653988	625,14
-0,777268008	2,620581922	604,85
1,40265542	2,775227721	430,32
3,003985646	1,981292804	883,87
0,885769606	3,187389277	527,56
-0,857618163	4,189167559	304,56
0,885351851	2,989337804	963,18
1,616888274	2,868617062	611,74
0,53337926	3,309146488	374,5
2,775176047	3,437322889	863,7
-0,20909361	3,280525655	702,13
2,680788414	2,734846747	430,58
0,950041356	3,206905009	842,65
1,54774765	3,312690127	326,99
-2,198423296	3,417351601	396,13
1,914822784	3,594021549	529,05
0,576952979	3,234913237	595,42
0,524643633	3,572282861	583,66
1,000024867	3,187475441	556,93
0,728902372	2,932280903	614,35
1,374884622	3,020294506	468,64
0,352453841	3,095222045	412,72
0,931800701	3,548620695	392,31
1,814456106	2,480307107	980,52
-0,710452732	3,408283913	542,74
2,232024153	2,698050593	660,52
0,460328653	3,621951285	733,13
1,030067095	2,596195518	830,88
-0,318060967	3,124058215	536,21
-1,878927458	3,730431944	861,86
1,205551283	2,559054751	833,83
1,2031387	4,058170632	827,42
1,630821033	3,154119376	706,67
-1,823905725	3,366978561	706,76
2,869710463	2,886482642	305,83
0,392189462	4,046219992	998,43
-0,753903496	3,479243123	570,91
3,011293193	2,792222303	995,82
1,672024923	3,209654158	887,4
1,669050173	2,957408026	516,39
0,353474182	2,574829708	795,43
-0,648924149	2,941235264	393,85
1,533823779	2,379502007	665,82
-0,053804041	3,026494211	855,99
-1,057978872	2,931372438	637,29
1,620991685	2,57515251	309,78
-0,329619445	2,624352276	333,34
0,503161201	3,622243118	889,52
0,320675735	3,848031843	641,59
1,288008732	2,216432449	509,61
2,598971389	2,622722023	636,23
-0,88726487	2,910514061	816,19
1,053039078	3,173218661	325,77
1,305896243	3,439022761	599,58
3,028097077	2,269157198	729,13
1,338837321	2,727989647	831,06
1,224721803	2,663777333	716,65
1,127381155	2,763410327	573,83
0,439726858	3,972325556	333,27
1,389928083	4,399290473	496,46
0,771877041	2,553643097	876,19
0,160206511	2,132009696	323,99
-0,084649398	3,295445198	618,37
-0,334721675	4,606271071	899,17
0,035565293	2,568631268	335,43
-0,425710836	3,564826555	641,89
0,594820311	3,045777676	607,43
-0,745723231	4,690917912	353,08
1,266507952	3,34554025	811,66
2,914000842	2,198164341	360,99
-0,525942275	4,5194411	789,37
0,791459473	3,063972377	411,56
2,86961828	3,025669828	875,27
-0,778361016	2,780039162	885,33
1,548671047	2,820465658	655,02
-0,502001956	2,429431363	514,01
0,86185459	4,10684816	401,5
1,170190331	3,15260572	970,2
1,017991688	2,863215179	698,1
-0,992680734	2,722850682	901,83
1,680253861	3,640726546	871,84
-0,103871133	3,670017533	807,67
3,812228775	2,385995447	548,56
1,006474535	2,35013089	349,77
-1,244120961	3,45292385	934,16
0,769835282	3,244134634	900,29
4,299873389	2,282828872	948,21
0,150734415	2,782703247	326,31
-0,445893313	3,667686231	722,82
4,602634424	2,604233725	858,29
-0,380840993	2,651806869	602,27
2,146845394	3,837214696	365,61
-0,587753458	3,354765205	671,65
1,186856348	3,38712094	870,3
1,186876741	2,339605807	620,91
0,023536585	3,329675025	359,68
-1,686523667	3,790306153	454,67
0,343772156	3,557513258	610,1
-0,839615187	3,298711586	928,19
0,769028997	2,865035471	435,47
1,62898289	1,691495243	738,07
0,743071475	2,953957587	888,21
2,01613725	3,005137473	558,13
1,177889383	3,475459965	860,7
1,309388584	1,918503111	594,12
0,722800729	2,333818434	509,5
0,702878337	3,158045808	394,21
1,200011603	2,660245825	709,96
0,56719846	2,856836503	310,12
2,678521617	2,83363943	868,96
2,924136634	2,463599457	691,49
1,099360111	3,624554983	834,06
0,853257205	2,791533347	617,7
0,562998855	2,710922731	819,98
-1,567790008	3,937041787	459,61
0,825484202	2,689843126	795,83
1,040294255	2,363013396	502,47
-1,110283126	3,598260698	429,13
1,749560223	2,642341601	557,66
-2,738751915	3,623391169	343,28
-0,002512796	3,363253357	445,36
1,043154641	3,552713056	494,65
-1,457351841	4,170585185	300,35
-1,153809652	3,150365675	981,77
1,385178513	4,166454683	358,83
0,657754412	1,204929314	583,37
-0,50612083	3,204680721	684,26
0,079242288	3,277262904	516,66
1,412226918	4,537764169	817,36
1,745376039	2,282607552	541,58
-0,158872352	2,999403278	998,75
3,007329339	2,870318348	412,14
0,632483452	3,465299574	543,81
-0,999332679	3,534353451	314,93
0,065123463	1,55277706	867,63
1,367866905	3,229833998	944,86
1,939142381	2,9321338	739,93
1,057423189	3,891028417	479,12
1,282313197	2,675105557	949,2
0,0974651	3,901779729	344,81
0,767176463	3,688378333	514,69
1,673224945	2,302932583	580,7
0,098818953	2,200812742	349,93
-0,593245379	4,307397009	733,38
1,019525884	3,028586015	371,07
1,957701515	3,105850403	309,18
3,263665064	3,157195039	452,7
3,596797189	2,257010745	916,51
2,630469149	2,872421964	987,52
1,805317193	2,813436426	497,59
-0,446965106	3,349405645	762,3
1,649018683	2,915502652	682,7
3,486560591	3,683968467	883,53
1,437792205	2,498092786	438,63
0,750094141	3,197476147	537,14
0,516679875	3,406509901	465,04
0,940264811	3,219709786	896,44
0,331842431	4,140620853	347,47
2,919132313	2,523816578	685,68
-1,733502916	3,800822975	458,29
-0,834614065	2,947662416	596,17
1,294481397	2,729837818	902,6
1,272152739	2,133573424	796,41
0,124108098	2,544470845	729,04
0,145283414	3,517377591	399,99
0,943734349	3,275150756	994,74
2,001041623	3,682288991	477,28
0,968832008	3,223503403	529,82
0,29601731	3,559756636	531,7
0,777098769	2,53859416	847,88
-1,004554782	3,844419587	409,2
-2,469828131	3,610909809	589,81
1,56707286	2,373420984	578,96
-0,566523031	3,063902607	468,44
-0,212916844	3,074246186	528,78
1,831192209	1,574410644	603,06
0,50739273	2,913014936	518,68
-0,964009138	3,756879528	942,78
-0,262895847	3,426895429	926,41
0,743580941	3,967905599	883,75
2,918928559	1,977130225	372,69
1,522836376	2,484263906	534,96
0,962834166	3,004737002	335,13
2,436337904	1,740281188	763,93
1,389085724	1,911550597	474,99
2,0484182	3,507562933	723,55
0,85143105	3,190516431	766,64
2,88184249	3,181863758	481,16
-0,925950408	2,978167235	951,12
-0,940066918	3,48213907	661,91
0,086590737	4,213549452	547,15
0,814619417	3,279881091	554,41
0,398806153	2,818705983	603,58
2,106697718	2,412433965	812,87
0,172220086	2,407065343	982,29
-0,234647711	3,745703513	346,18
-0,486976609	3,448295142	311,89
1,302001174	2,484151898	823,54
3,599293645	2,25292957	908,28
1,322069945	3,39306332	881,36
2,798484963	2,3067065	886,94
2,342844368	3,517933237	674,9
2,324881055	2,341394174	322,66
0,591024729	3,14623502	669,37
0,340161167	3,781480516	415,64
0,565812787	3,385129914	395,73
1,69693869	2,877648777	960,19
-0,234166468	4,141754376	636,35
-1,259854556	2,785181338	438,61
0,052605914	3,136070652	361,99
-0,542358289	4,101671854	345,13
-1,372942622	3,95338635	811,22
-0,083478963	2,695624241	450,1
2,114928122	2,25187398	352,83
0,396085911	4,076161752	840,42
1,645311378	2,290458592	912,62
-1,236064394	3,641406614	506,3
2,44754812	4,130330006	583,52
1,50779982	1,950863425	944,54
-0,194229382	3,597028188	432,32
0,720085896	2,614550548	967,84
0,904042545	3,202046645	382,55
0,992769486	1,938003184	796,5
0,732495887	3,297959206	409,89
1,261549975	2,402452596	375,4
0,848380691	3,894942349	446,28
-0,141158835	3,874290351	879,19
-0,653040142	2,336867575	474,15
1,761810146	2,9846461	365,93
3,314344711	4,412484959	601,12
2,810537688	3,004914876	321,85
1,740710626	3,773401057	349,84
0,372250218	2,428745352	351,89
1,767817627	2,356191715	484,96
0,787438759	2,504836129	375,83
-1,310916611	3,340228238	493,44
0,778538493	4,154913669	748,84
0,622577135	3,396549629	387,99
-0,219585681	2,816369552	806,94
0,077773376	4,019139271	432,8
1,499901945	3,62722115	683,81
-0,550098684	3,587559765	633,1
1,988784295	3,062104919	346,14
0,316190898	3,250010432	552,06
2,05235936	1,405554316	482,62
3,723037336	2,199772154	494,13
1,144766506	2,269920844	695,23
2,77400458	2,800273267	910,97
-0,745562328	4,081693202	551,27
-0,200745308	4,221826699	644,11
0,203958886	3,609917073	493,18
1,221457471	3,50836149	879,57
1,555506959	3,460517346	890,98
1,173474143	3,38908046	691,01
0,808427759	3,271243718	784,71
3,101332526	3,045190951	379,91
0,474385648	2,519084814	645,37
1,099042933	1,928993086	801,18
-1,620723225	3,207030337	942,2
0,896876427	2,935122445	318,05
1,730551534	3,067365117	770,79
-0,046799421	2,754968414	861,86
2,063204526	2,66242865	544,2
1,683233971	3,874596336	971,96
1,050509181	2,074652792	738,66
1,958789452	2,891961954	459,77
1,521084305	3,795759277	652,47
0,172953832	3,473959098	868,76
1,982811342	1,923563851	434,89
-0,252690936	3,034597172	896,69
-0,279072062	3,970549851	769,34
1,445351245	3,277046747	653,81
0,426820231	3,354811679	995,05
0,278729746	3,245449216	780,71
0,472819252	2,341735209	806,53
1,324258089	2,298622179	516,7
0,021790531	1,750906543	607,82
2,73071431	2,035399027	579,06
0,057159726	3,228914353	930,57
0,479706394	1,906368468	686,72
-0,423427374	2,842432351	688,32
1,059822278	2,946028152	510,96
3,222810561	1,981822998	504,24
1,151348528	3,034312547	876,89
2,180214245	3,236708287	512,35
1,165252762	2,376411321	882,8
0,716111138	3,429573193	651,47
-1,117876364	2,235495764	666,42
3,322151162	2,848126054	644,09
0,774407305	3,019578052	365,94
1,655195543	2,278547138	939,24
-0,003842746	2,859879064	941,03
0,379778003	3,696640793	783,25
-0,615275585	2,661091451	768,28
1,942788427	2,878879739	313,46
1,190293793	2,663118983	692,26
2,642574527	3,265248043	997
-1,296523695	3,560212306	680,83
-0,508255499	3,074359083	879,22
-1,264523836	3,887120861	908,21
1,034206419	2,827646469	707,48
2,24742665	2,241028293	501,34
-0,685898977	2,77241979	935,61
1,350645852	2,86631558	918,14
-1,003289708	2,113105007	447,49
3,213598307	3,26698826	333
2,938365449	1,476764762	427,05
1,823676544	2,730139589	606,73
-0,196035398	3,328257285	926,4
0,877981058	2,371080134	693,69
1,253661014	1,82012238	362,51
1,54471446	2,391364211	641,48
0,677459601	2,263234722	376,28
0,450021258	2,290108226	340,49
3,081738455	2,201450105	583,23
2,709212961	3,490827922	736,14
0,198524932	3,449177785	845,8
0,59922155	2,590124116	477,36
2,408757283	3,340530465	817,04
2,039971596	2,640390579	337,75
1,572277109	3,179362878	451,28
1,595381468	2,1380228	620,87
0,631106456	3,962591774	431,02
3,529116344	3,483940616	534,43
-1,601409473	3,861221169	488,93
0,362246995	2,645969273	926,27
0,09324208	2,898794486	814,19
3,137848733	2,345154709	585,52
3,161151673	1,937669169	644,61
0,184535215	4,18587318	875,1
2,208918023	2,551800499	376,95
3,993317509	2,6132966	427,43
0,796174785	3,262083062	522,15
0,295733645	2,303723173	652
3,2407967	1,835656403	693,16
3,407803235	2,988191067	574,66
0,879298036	2,41245889	424,31
-0,116261147	3,500912012	332,26
1,581897238	3,373750559	903,07
0,200893867	3,221332756	653,09
1,677546662	3,600211535	368,8
0,431227408	3,794738434	523,42
